219060143	0.066586
219171140	0.062385
219159477	0.043519
219456859	0.034289
218909828	0.028505
219135826	0.026422
219127113	0.025145
219165497	0.019776
219144352	0.019015
219312827	0.016922
219308382	0.012917
218759341	0.012510
219332168	0.012363
218981255	0.011536
219137757	0.011054
219079665	0.010959
219435997	0.010883
218908034	0.009696
219452271	0.009346
218961133	0.009333
218993207	0.009106
218922004	0.008729
219233092	0.007848
219210261	0.007632
218956287	0.005346
219376000	0.004985
219405134	0.004339
219078215	0.004070
219045001	0.004066
218996316	0.003935
