15846407	0.000769
428333	        0.000726
19058681	0.000664
759251	        0.000613
15485441	0.000550
130834357	0.000536
135600392	0.000474
25365536	0.000472
14872237	0.000434
16409683	0.000428
16190898	0.000408
9252212	        0.000408
100294792	0.000407
132385468	0.000403
23375688	0.000401
169686021	0.000387
77888423	0.000384
123774113	0.000380
28706024	0.000379
169927844	0.000362
19329393	0.000358
14075928	0.000352
48661131	0.000351
19877186	0.000346
136885994	0.000340
18220175	0.000329
18588279	0.000328
783214	        0.000321
155659213	0.000316
51999405	0.000306
